날짜,품목명,품종명,등급명,조사일_kg_환산_가격
20250101,계란,특란30구,일반란,6406
20250101,돼지,삼겹살,삼겹살,26528
20250101,사과,후지,상품,26660
20250101,쌀,20kg,상품,2665
20250101,천일염,천일염,상품,2240
20250102,계란,특란30구,일반란,6284
20250102,돼지,삼겹살,삼겹살,26530
20250102,사과,후지,상품,26333
20250102,쌀,20kg,상품,2660
20250102,천일염,천일염,상품,2243
20250103,계란,특란30구,일반란,6177
20250103,돼지,삼겹살,삼겹살,26047
20250103,사과,후지,상품,26257
20250103,쌀,20kg,상품,2660
20250103,천일염,천일염,상품,2294
20250104,계란,특란30구,일반란,6181
20250104,돼지,삼겹살,삼겹살,26518
20250104,사과,후지,상품,26562
20250104,쌀,20kg,상품,2663
20250104,천일염,천일염,상품,2312
20250105,계란,특란30구,일반란,6181
20250105,돼지,삼겹살,삼겹살,26559
20250105,사과,후지,상품,26562
20250105,쌀,20kg,상품,2663
20250105,천일염,천일염,상품,2312
20250106,계란,특란30구,일반란,6822
20250106,돼지,삼겹살,삼겹살,25168
20250106,사과,후지,상품,26829
20250106,쌀,20kg,상품,2666
20250106,천일염,천일염,상품,2356
20250107,계란,특란30구,일반란,6810
20250107,돼지,삼겹살,삼겹살,25129
20250107,사과,후지,상품,26720
20250107,쌀,20kg,상품,2666
20250107,천일염,천일염,상품,2356
20250108,계란,특란30구,일반란,6810
20250108,돼지,삼겹살,삼겹살,26142
20250108,사과,후지,상품,27100
20250108,쌀,20kg,상품,2665
20250108,천일염,천일염,상품,2356
20250109,계란,특란30구,일반란,6086
20250109,돼지,삼겹살,삼겹살,26137
20250109,사과,후지,상품,26094
20250109,쌀,20kg,상품,2662
20250109,천일염,천일염,상품,2387
20250110,계란,특란30구,일반란,6334
20250110,돼지,삼겹살,삼겹살,25857
20250110,사과,후지,상품,26668
20250110,쌀,20kg,상품,2662
20250110,천일염,천일염,상품,2380
20250111,계란,특란30구,일반란,6334
20250111,돼지,삼겹살,삼겹살,25776
20250111,사과,후지,상품,26570
20250111,쌀,20kg,상품,2664
20250111,천일염,천일염,상품,2381
20250112,계란,특란30구,일반란,6352
20250112,돼지,삼겹살,삼겹살,25828
20250112,사과,후지,상품,26570
20250112,쌀,20kg,상품,2664
20250112,천일염,천일염,상품,2381
20250113,계란,특란30구,일반란,6347
20250113,돼지,삼겹살,삼겹살,25881
20250113,사과,후지,상품,26730
20250113,쌀,20kg,상품,2665
20250113,천일염,천일염,상품,2378
20250114,계란,특란30구,일반란,6305
20250114,돼지,삼겹살,삼겹살,25992
20250114,사과,후지,상품,26786
20250114,쌀,20kg,상품,2666
20250114,천일염,천일염,상품,2377
20250115,계란,특란30구,일반란,6299
20250115,돼지,삼겹살,삼겹살,25952
20250115,사과,후지,상품,27284
20250115,쌀,20kg,상품,2671
20250115,천일염,천일염,상품,2376
20250116,계란,특란30구,일반란,6174
20250116,돼지,삼겹살,삼겹살,26249
20250116,사과,후지,상품,28176
20250116,쌀,20kg,상품,2667
20250116,천일염,천일염,상품,2383
20250117,계란,특란30구,일반란,6602
20250117,돼지,삼겹살,삼겹살,25492
20250117,사과,후지,상품,27426
20250117,쌀,20kg,상품,2662
20250117,천일염,천일염,상품,2382
20250118,계란,특란30구,일반란,6620
20250118,돼지,삼겹살,삼겹살,25485
20250118,사과,후지,상품,27151
20250118,쌀,20kg,상품,2663
20250118,천일염,천일염,상품,2384
20250119,계란,특란30구,일반란,6650
20250119,돼지,삼겹살,삼겹살,25446
20250119,사과,후지,상품,27151
20250119,쌀,20kg,상품,2663
20250119,천일염,천일염,상품,2384
20250120,계란,특란30구,일반란,6102
20250120,돼지,삼겹살,삼겹살,24831
20250120,사과,후지,상품,26616
20250120,쌀,20kg,상품,2660
20250120,천일염,천일염,상품,2382
20250121,계란,특란30구,일반란,6109
20250121,돼지,삼겹살,삼겹살,24786
20250121,사과,후지,상품,26386
20250121,쌀,20kg,상품,2662
20250121,천일염,천일염,상품,2387
20250122,계란,특란30구,일반란,6060
20250122,돼지,삼겹살,삼겹살,24784
20250122,사과,후지,상품,26354
20250122,쌀,20kg,상품,2661
20250122,천일염,천일염,상품,2387
20250123,계란,특란30구,일반란,6076
