날짜,제품코드,평균가격,제품명
20250101,B027,1672.68,보통휘발유
20250101,B034,1914.55,고급휘발유
20250101,C004,1314.52,실내등유
20250101,D047,1517.73,자동차경유
20250101,K015,1058.76,자동차부탄
20250102,B027,1674.44,보통휘발유
20250102,B034,1915.98,고급휘발유
20250102,C004,1314.81,실내등유
20250102,D047,1519.77,자동차경유
20250102,K015,1058.61,자동차부탄
20250103,B027,1676.64,보통휘발유
20250103,B034,1917.72,고급휘발유
20250103,C004,1315.46,실내등유
20250103,D047,1522.32,자동차경유
20250103,K015,1058.67,자동차부탄
20250104,B027,1679.07,보통휘발유
20250104,B034,1918.11,고급휘발유
20250104,C004,1315.82,실내등유
20250104,D047,1525.02,자동차경유
20250104,K015,1058.78,자동차부탄
20250105,B027,1680.56,보통휘발유
20250105,B034,1919.16,고급휘발유
20250105,C004,1315.94,실내등유
20250105,D047,1526.36,자동차경유
20250105,K015,1058.81,자동차부탄
20250106,B027,1683.43,보통휘발유
20250106,B034,1923.44,고급휘발유
20250106,C004,1316.9,실내등유
20250106,D047,1529.71,자동차경유
20250106,K015,1059.07,자동차부탄
20250107,B027,1686.97,보통휘발유
20250107,B034,1925.37,고급휘발유
20250107,C004,1317.75,실내등유
20250107,D047,1533.66,자동차경유
20250107,K015,1058.88,자동차부탄
20250108,B027,1689.66,보통휘발유
20250108,B034,1927.23,고급휘발유
20250108,C004,1318.99,실내등유
20250108,D047,1537.02,자동차경유
20250108,K015,1059.01,자동차부탄
20250109,B027,1692.8,보통휘발유
20250109,B034,1931.05,고급휘발유
20250109,C004,1320.11,실내등유
20250109,D047,1540.59,자동차경유
20250109,K015,1059.07,자동차부탄
20250110,B027,1695.07,보통휘발유
20250110,B034,1932.41,고급휘발유
20250110,C004,1321.16,실내등유
20250110,D047,1543.41,자동차경유
20250110,K015,1059.05,자동차부탄
20250111,B027,1697.11,보통휘발유
20250111,B034,1931.59,고급휘발유
20250111,C004,1322.02,실내등유
20250111,D047,1546.23,자동차경유
20250111,K015,1058.09,자동차부탄
20250112,B027,1698.93,보통휘발유
20250112,B034,1932.69,고급휘발유
20250112,C004,1322.29,실내등유
20250112,D047,1547.82,자동차경유
20250112,K015,1059.13,자동차부탄
20250113,B027,1702.29,보통휘발유
