날짜,제품코드,평균가격,제품명
20250101,D047,1517.73,자동차경유
20250102,D047,1519.77,자동차경유
20250103,D047,1522.32,자동차경유
20250104,D047,1525.02,자동차경유
20250105,D047,1526.36,자동차경유
20250106,D047,1529.71,자동차경유
20250107,D047,1533.66,자동차경유
20250108,D047,1537.02,자동차경유
20250109,D047,1540.59,자동차경유
20250110,D047,1543.41,자동차경유
20250111,D047,1546.23,자동차경유
20250112,D047,1547.82,자동차경유
20250113,D047,1551.83,자동차경유
20250114,D047,1556.39,자동차경유
20250115,D047,1561.72,자동차경유
20250116,D047,1566.93,자동차경유
20250117,D047,1572.31,자동차경유
20250118,D047,1575.94,자동차경유
20250119,D047,1577.78,자동차경유
20250120,D047,1581.79,자동차경유
20250121,D047,1585.78,자동차경유
20250122,D047,1589.54,자동차경유
20250123,D047,1591.84,자동차경유
20250124,D047,1593.77,자동차경유
20250125,D047,1595.1,자동차경유
20250126,D047,1595.55,자동차경유
20250127,D047,1596.79,자동차경유
20250128,D047,1597.01,자동차경유
20250129,D047,1597.04,자동차경유
20250130,D047,1597.01,자동차경유
20250131,D047,1597.53,자동차경유
20250201,D047,1597.51,자동차경유
20250202,D047,1597.33,자동차경유
20250203,D047,1597.71,자동차경유
20250204,D047,1597.84,자동차경유
20250205,D047,1597.81,자동차경유
20250206,D047,1597.94,자동차경유
20250207,D047,1597.82,자동차경유
20250208,D047,1597.25,자동차경유
20250209,D047,1596.91,자동차경유
20250210,D047,1597.39,자동차경유
20250211,D047,1596.65,자동차경유
20250212,D047,1596.19,자동차경유
20250213,D047,1595.69,자동차경유
20250214,D047,1595.17,자동차경유
20250215,D047,1594.37,자동차경유
20250216,D047,1594.0,자동차경유
20250217,D047,1594.09,자동차경유
20250218,D047,1593.26,자동차경유
20250219,D047,1592.53,자동차경유
20250220,D047,1591.85,자동차경유
20250221,D047,1591.23,자동차경유
20250222,D047,1590.41,자동차경유
20250223,D047,1590.03,자동차경유
20250224,D047,1590.14,자동차경유
20250225,D047,1589.34,자동차경유
20250226,D047,1588.33,자동차경유
20250227,D047,1587.3,자동차경유
20250228,D047,1586.3,자동차경유
20250301,D047,1584.46,자동차경유
20250302,D047,1583.79,자동차경유
20250303,D047,1583.55,자동차경유
20250304,D047,1582.69,자동차경유
20250305,D047,1580.89,자동차경유
20250306,D047,1578.28,자동차경유
20250307,D047,1575.56,자동차경유
20250308,D047,1572.11,자동차경유
20250309,D047,1571.06,자동차경유
20250310,D047,1569.85,자동차경유
20250311,D047,1565.33,자동차경유
20250312,D047,1561.88,자동차경유
20250313,D047,1558.41,자동차경유
20250314,D047,1555.5,자동차경유
20250315,D047,1552.97,자동차경유
20250316,D047,1551.71,자동차경유
20250317,D047,1550.1,자동차경유
20250318,D047,1547.62,자동차경유
20250319,D047,1545.44,자동차경유
20250320,D047,1543.39,자동차경유
20250321,D047,1541.64,자동차경유
20250322,D047,1539.3,자동차경유
20250323,D047,1538.56,자동차경유
20250324,D047,1538.07,자동차경유
20250325,D047,1536.25,자동차경유
20250326,D047,1534.94,자동차경유
20250327,D047,1533.9,자동차경유
20250328,D047,1533.31,자동차경유
20250329,D047,1531.95,자동차경유
20250330,D047,1531.63,자동차경유
20250331,D047,1531.83,자동차경유
20250401,D047,1531.55,자동차경유
20250402,D047,1531.57,자동차경유
20250403,D047,1531.53,자동차경유
20250404,D047,1530.95,자동차경유
20250405,D047,1529.1,자동차경유
20250406,D047,1528.46,자동차경유
20250407,D047,1527.65,자동차경유
20250408,D047,1525.17,자동차경유
20250409,D047,1522.4,자동차경유
20250410,D047,1520.01,자동차경유
20250411,D047,1517.5,자동차경유
20250412,D047,1515.5,자동차경유
20250413,D047,1514.76,자동차경유
20250414,D047,1513.56,자동차경유
20250415,D047,1511.4,자동차경유
20250416,D047,1509.05,자동차경유
20250417,D047,1507.15,자동차경유
20250418,D047,1505.83,자동차경유
20250419,D047,1503.82,자동차경유
20250420,D047,1503.4,자동차경유
20250421,D047,1503.25,자동차경유
20250422,D047,1501.93,자동차경유
20250423,D047,1501.5,자동차경유
20250424,D047,1501.09,자동차경유
20250425,D047,1501.12,자동차경유
20250426,D047,1500.7,자동차경유
20250427,D047,1500.53,자동차경유
20250428,D047,1501.47,자동차경유
20250429,D047,1501.78,자동차경유
20250430,D047,1502.58,자동차경유
20250501,D047,1505.7,자동차경유
20250502,D047,1506.94,자동차경유
20250503,D047,1506.76,자동차경유
20250504,D047,1506.89,자동차경유
20250505,D047,1507.24,자동차경유
20250506,D047,1506.51,자동차경유
20250507,D047,1506.67,자동차경유
20250508,D047,1505.77,자동차경유
20250509,D047,1504.96,자동차경유
20250510,D047,1503.77,자동차경유
20250511,D047,1503.45,자동차경유
20250512,D047,1503.88,자동차경유
20250513,D047,1503.4,자동차경유
20250514,D047,1503.14,자동차경유
20250515,D047,1502.83,자동차경유
20250516,D047,1502.41,자동차경유
20250517,D047,1501.29,자동차경유
20250518,D047,1501.08,자동차경유
20250519,D047,1501.82,자동차경유
20250520,D047,1501.36,자동차경유
20250521,D047,1500.9,자동차경유
20250522,D047,1500.26,자동차경유
20250523,D047,1499.81,자동차경유
20250524,D047,1498.85,자동차경유
20250525,D047,1498.53,자동차경유
20250526,D047,1498.95,자동차경유
20250527,D047,1498.3,자동차경유
20250528,D047,1497.56,자동차경유
20250529,D047,1496.61,자동차경유
