[20240318 기준 품목별 세부 규격 리스트]
----------------------------------------------------------------------
품목명          | 구분     | 품종              | 등급       | 단위
----------------------------------------------------------------------
계란           | 소매     | 특란10구           | 등급란      | 10구
계란           | 소매     | 특란10구           | 일반란      | 10구
계란           | 소매     | 특란30구           | 일반란      | 30구
계란           | 친환경농산물(신규) | 계란              | 동물복지란    | 10구
돼지           | 소매     | 갈비              | 갈비       | 100g
돼지           | 소매     | 목심              | 목심       | 100g
돼지           | 소매     | 삼겹살             | 삼겹살      | 100g
돼지           | 소매     | 앞다리             | 앞다리      | 100g
사과           | 소매     | 후지              | 상품       | 10개
사과           | 소매     | 후지              | 중품       | 10개
사과           | 중도매    | 후지              | 상품       | 10kg
사과           | 중도매    | 후지              | 중품       | 10kg
수입 돼지고기      | 소매     | 삼겹살             | 삼겹살      | 100g
쌀            | 소매     | 10kg            | 상품       | 10kg
쌀            | 소매     | 20kg            | 상품       | 20kg
쌀            | 중도매    | 20kg            | 상품       | 20kg
쌀            | 중도매    | 20kg            | 중품       | 20kg
쌀            | 친환경농산물(신규) | 백미              | 무농약      | 4kg
쌀            | 친환경농산물(신규) | 백미              | 유기농      | 4kg
쌀            | 친환경농산물(신규) | 현미              | 무농약      | 2kg
쌀            | 친환경농산물(신규) | 현미              | 유기농      | 2kg
찹쌀           | 소매     | 일반계             | 상품       | 1kg
찹쌀           | 중도매    | 일반계             | 상품       | 40kg
찹쌀           | 중도매    | 일반계             | 중품       | 40kg
찹쌀           | 친환경농산물(신규) | 일반계             | 무농약      | 1kg
찹쌀           | 친환경농산물(신규) | 일반계             | 유기농      | 1kg
천일염          | 소매     | 천일염             | 상품       | 5kg
피마늘          | 중도매    | 난지(대서)          | 상품       | 10kg
피마늘          | 중도매    | 난지(대서)          | 중품       | 10kg
피마늘          | 중도매    | 한지              | 상품       | 10kg
피마늘          | 중도매    | 한지              | 중품       | 10kg
