날짜,통화명,매매기준율
20250101,미국 달러,1470.0
20250102,미국 달러,1470.0
20250103,미국 달러,1468.3
20250104,미국 달러,1468.3
20250105,미국 달러,1468.3
20250106,미국 달러,1466.8
20250107,미국 달러,1470.8
20250108,미국 달러,1455.4
20250109,미국 달러,1453.2
20250110,미국 달러,1458.2
20250111,미국 달러,1458.2
20250112,미국 달러,1458.2
20250113,미국 달러,1460.7
20250114,미국 달러,1471.3
20250115,미국 달러,1463.3
20250116,미국 달러,1460.2
20250117,미국 달러,1454.7
20250118,미국 달러,1454.7
20250119,미국 달러,1454.7
20250120,미국 달러,1455.8
20250121,미국 달러,1453.0
20250122,미국 달러,1437.9
20250123,미국 달러,1434.3
20250124,미국 달러,1437.1
20250125,미국 달러,1437.1
20250126,미국 달러,1437.1
20250127,미국 달러,1437.1
20250128,미국 달러,1437.1
20250129,미국 달러,1437.1
20250130,미국 달러,1437.1
20250131,미국 달러,1433.3
20250201,미국 달러,1433.3
20250202,미국 달러,1433.3
20250203,미국 달러,1453.0
20250204,미국 달러,1469.2
20250205,미국 달러,1460.8
20250206,미국 달러,1450.0
20250207,미국 달러,1447.1
20250208,미국 달러,1447.1
20250209,미국 달러,1447.1
20250210,미국 달러,1447.4
20250211,미국 달러,1453.4
20250212,미국 달러,1453.5
20250213,미국 달러,1452.6
20250214,미국 달러,1450.5
20250215,미국 달러,1450.5
20250216,미국 달러,1450.5
20250217,미국 달러,1443.3
20250218,미국 달러,1441.1
20250219,미국 달러,1443.9
20250220,미국 달러,1440.6
20250221,미국 달러,1439.4
20250222,미국 달러,1439.4
20250223,미국 달러,1439.4
20250224,미국 달러,1434.1
20250225,미국 달러,1429.2
20250226,미국 달러,1430.7
20250227,미국 달러,1431.8
20250228,미국 달러,1439.6
20250301,미국 달러,1439.6
20250302,미국 달러,1439.6
20250303,미국 달러,1439.6
20250304,미국 달러,1458.7
20250305,미국 달러,1459.6
20250306,미국 달러,1456.0
20250307,미국 달러,1441.6
20250308,미국 달러,1441.6
20250309,미국 달러,1441.6
20250310,미국 달러,1446.3
20250311,미국 달러,1451.5
20250312,미국 달러,1457.9
20250313,미국 달러,1452.0
20250314,미국 달러,1451.9
20250315,미국 달러,1451.9
20250316,미국 달러,1451.9
20250317,미국 달러,1454.8
20250318,미국 달러,1448.0
20250319,미국 달러,1447.1
20250320,미국 달러,1452.3
20250321,미국 달러,1459.2
20250322,미국 달러,1459.2
20250323,미국 달러,1459.2
20250324,미국 달러,1466.9
20250325,미국 달러,1466.9
20250326,미국 달러,1469.6
20250327,미국 달러,1465.3
20250328,미국 달러,1466.8
20250329,미국 달러,1466.8
20250330,미국 달러,1466.8
20250331,미국 달러,1466.5
20250401,미국 달러,1470.6
20250402,미국 달러,1471.7
20250403,미국 달러,1467.8
20250404,미국 달러,1467.0
20250405,미국 달러,1467.0
20250406,미국 달러,1467.0
20250407,미국 달러,1439.3
20250408,미국 달러,1465.9
20250409,미국 달러,1470.2
20250410,미국 달러,1482.9
20250411,미국 달러,1458.5
20250412,미국 달러,1458.5
20250413,미국 달러,1458.5
20250414,미국 달러,1450.8
20250415,미국 달러,1427.4
20250416,미국 달러,1423.3
20250417,미국 달러,1427.4
20250418,미국 달러,1419.9
20250419,미국 달러,1419.9
20250420,미국 달러,1419.9
20250421,미국 달러,1421.5
20250422,미국 달러,1418.9
20250423,미국 달러,1422.6
20250424,미국 달러,1426.6
20250425,미국 달러,1430.2
20250426,미국 달러,1430.2
20250427,미국 달러,1430.2
20250428,미국 달러,1434.6
20250429,미국 달러,1439.3
20250430,미국 달러,1438.5
20250501,미국 달러,1438.5
20250502,미국 달러,1426.9
20250503,미국 달러,1426.9
20250504,미국 달러,1426.9
20250505,미국 달러,1426.9
20250506,미국 달러,1426.9
20250507,미국 달러,1426.6
20250508,미국 달러,1394.1
20250509,미국 달러,1396.0
20250510,미국 달러,1396.0
20250511,미국 달러,1396.0
20250512,미국 달러,1405.6
20250513,미국 달러,1400.4
20250514,미국 달러,1413.7
20250515,미국 달러,1415.8
20250516,미국 달러,1399.6
20250517,미국 달러,1399.6
20250518,미국 달러,1399.6
20250519,미국 달러,1394.3
20250520,미국 달러,1398.0
20250521,미국 달러,1392.6
20250522,미국 달러,1387.1
20250523,미국 달러,1378.4
20250524,미국 달러,1378.4
20250525,미국 달러,1378.4
20250526,미국 달러,1376.9
20250527,미국 달러,1365.0
20250528,미국 달러,1368.3
20250529,미국 달러,1374.6
20250530,미국 달러,1381.4
20250531,미국 달러,1381.4
20250601,미국 달러,1381.4
20250602,미국 달러,1375.7
20250603,미국 달러,1375.7
20250604,미국 달러,1376.9
20250605,미국 달러,1373.8
20250606,미국 달러,1373.8
20250607,미국 달러,1373.8
20250608,미국 달러,1373.8
20250609,미국 달러,1359.0
20250610,미국 달러,1358.9
20250611,미국 달러,1359.9
20250612,미국 달러,1368.8
20250613,미국 달러,1362.9
20250614,미국 달러,1362.9
20250615,미국 달러,1362.9
20250616,미국 달러,1366.8
20250617,미국 달러,1363.6
20250618,미국 달러,1361.7
20250619,미국 달러,1373.2
20250620,미국 달러,1379.6
20250621,미국 달러,1379.6
20250622,미국 달러,1379.6
20250623,미국 달러,1369.4
20250624,미국 달러,1381.9
20250625,미국 달러,1365.0
20250626,미국 달러,1360.9
20250627,미국 달러,1357.6
20250628,미국 달러,1357.6
20250629,미국 달러,1357.6
20250630,미국 달러,1356.4
20250701,미국 달러,1353.6
20250702,미국 달러,1352.6
20250703,미국 달러,1359.4
20250704,미국 달러,1358.1
20250705,미국 달러,1358.1
20250706,미국 달러,1358.1
20250707,미국 달러,1364.2
20250708,미국 달러,1366.6
20250709,미국 달러,1368.0
20250710,미국 달러,1373.8
20250711,미국 달러,1373.0
20250712,미국 달러,1373.0
20250713,미국 달러,1373.0
20250714,미국 달러,1374.7
20250715,미국 달러,1378.5
20250716,미국 달러,1382.7
20250717,미국 달러,1387.1
20250718,미국 달러,1390.8
20250719,미국 달러,1390.8
20250720,미국 달러,1390.8
20250721,미국 달러,1391.9
20250722,미국 달러,1391.1
20250723,미국 달러,1386.3
20250724,미국 달러,1379.1
20250725,미국 달러,1368.7
20250726,미국 달러,1368.7
20250727,미국 달러,1368.7
20250728,미국 달러,1376.0
20250729,미국 달러,1379.6
20250730,미국 달러,1391.4
20250731,미국 달러,1382.9
20250801,미국 달러,1390.4
20250802,미국 달러,1390.4
20250803,미국 달러,1390.4
20250804,미국 달러,1399.3
20250805,미국 달러,1384.9
20250806,미국 달러,1386.7
20250807,미국 달러,1389.5
20250808,미국 달러,1384.2
20250809,미국 달러,1384.2
